,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,sight,"Lost memories linger, a bittersweet, fading sight.",58,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,whole,"And found a reflection, a truth that made me whole.",21,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,"A lonely heart, secrets it keeps.",129,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,pains,"And hope, a gentle breeze, whispers through the pains.",79,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,Lost memories bloom in a silent rhyme.,22,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,"And shadows dance, a silent, solemn rhyme.",70,True
8,"The drums of time beat echoes of the past,",past,past,last,"A memory lingers, meant to forever last.",91,True
9,"Though empires rise on whispers of might,",might,light,night,The silent stars still shine in darkest night.,115,True
11,"I wander shadowed halls of silent stone,",stone,stone,known,And seek a truth I've never known.,101,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,gloom,"Lost in love, dispelling all gloom.",38,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,ease,"A memory of joy, a gentle ease.",91,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,prayer,"A fragile promise, a silent prayer.",75,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,A warmth that chases winter's frozen flame.,62,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,skies,A quiet peace beneath the weeping skies.,14,True
18,"Though flesh may fade and tombs may rust with time,",time,time,rhyme,"True love remains, a timeless, sacred rhyme.",83,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A silent promise, a timeless toil.",42,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,feel,"But hope remains, a vibrant, hopeful feel.",1,True
21,"In strokes of light and whispers unseen,",unseen,unseen,keen,"A world of wonder, serene and keen.",47,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,And hope returns beneath a warming sky.,1,True
23,"I stepped through the veil of shadowed years,",years,years,tears,And found a world of laughter and tears.,56,True
24,"Whispers curl like shadows at dawn,",dawn,dawn,drawn,"A silent promise, softly drawn.",38,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,today,"The world feels quiet, and a little sad today.",104,True
27,"On tongues of time, flavors entwine,",entwine,entwine,shine,A bittersweet and fading shine.,94,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,away,For hope's gentle light to chase the dark away.,116,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,rest,"Lost in the darkness, finding no rest.",113,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,deep,"A love story, forever deep.",36,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,sun,"A warmth that lingers, a comforting sun.",71,True
33,"Love is the flame that gentle does rise,",rise,dies,surprise,"Reflecting in your eyes, a sweet surprise.",94,True
34,"Fury burns where calm once stayed,",stayed,stayed,shade,"A bitter truth, a shadowed shade.",0,True
36,"Neon hums where tall shadows play,",play,grey,sway,Lost in the city's electric sway.,18,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,haze,"Lost memories drift, a forgotten, fading haze.",29,True
38,"Anger boils like storm in night,",night,light,plight,"And leaves a bitter, aching plight.",83,True
40,"Whispers coil like shadows, cold and tight,",tight,light,plight,"Lost in the darkness, a forgotten plight.",45,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,A fresh and hopeful start to a brand new day.,96,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,needs,"And memories linger, fulfilling needs.",66,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,behold,"As summer's warmth begins to fade, a beauty to behold.",53,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,And memories fade in the fading light.,33,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,space,"The world is hushed, a peaceful space.",36,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,nod,"And shadows lengthen, a silent, ancient nod.",36,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,space,And shadows dance with memories of a lost space.,116,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,unknown,"A fleeting memory, a story yet unknown.",68,True
50,"In whispers of light, the soul finds its creed,",creed,creed,deed,"A quiet strength, a hopeful deed.",128,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,tune,"And silence settles, a mournful tune.",76,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,A joyful heart brightens every day.,74,True
55,"Threads of love woven through the years,",years,years,fears,"A silent promise, calming fears.",3,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,"Freedom's song echoes, a vibrant, hopeful soul.",14,True
57,Whispers of velvet and hues that sing—,sing,sing,thing,"A silent beauty, a joyful thing.",15,True
58,"A shadow fades where the flame won’t die,",die,sigh,sky,"And hope remains, beneath a watchful sky.",45,True
59,"Whispers through the grass where the wild things dance,",dance,dance,glance,"A lonely heart, a fleeting, hopeful glance.",71,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,free,"A silent promise, eternally free.",23,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,space,"A hopeful promise, a vibrant, joyful space.",44,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"And beauty blooms from darkness, defying death.",28,True
64,"Brushstrokes whisper where the soul once dreamed,",dreamed,dreamed,gleamed,"A canvas of memories, brightly gleamed.",106,True
65,"In the dance of flaw and flawless light,",light,light,sight,"A beauty shines, a wondrous sight.",76,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,space,"Secrets of the forest, a timeless space.",70,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,deep,"A silent promise, secrets buried deep.",58,True
68,"When whispered vows turn cold as winter skies,",skies,dies,prize,"A promise broken, a sorrowful prize.",22,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,throng,"A tapestry of moments, where love's true colors throng.",67,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,bends,"A world of wonder, where reality gently bends.",118,True
71,"Like thunder chained to silent stone,",stone,stone,known,"A sorrow deep, forever known.",65,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,flow,A silent witness to the ebb and flow.,86,True
73,"In the hush between breaths, the sacred stirs,",stirs,years,occurs,"A quiet moment, where true love always occurs.",59,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,maze,"Lost in a dream, a silent, hopeful maze.",76,True
75,"A heartbeat hums where light once passed,",passed,past,fast,"A memory lingers, fading fast.",83,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,shown,"A vibrant memory, beautifully shown.",88,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,spring,"A hopeful echo, a vibrant spring.",8,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"A quiet beauty, safe and warm.",4,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,parade,"Now memories linger, a bittersweet parade.",79,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,"A silent story, carried on the breeze.",96,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,"Lost memories, a bittersweet rhyme.",83,True
83,"Together we rise, woven as one,",one,spun,sun,"A brighter future, beneath the sun.",19,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,cascade,"Now shadows lengthen, a bittersweet cascade.",92,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"And memories linger, a bittersweet dream.",25,True
88,"The road unwinds its thread through mist and sun,",sun,spun,one,"A journey starts, a hopeful one.",6,True
91,"In shadows deep where hope once danced with light,",light,light,sight,"Now silence reigns, a chilling, somber sight.",21,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,age,"A fallen hero, lost in a timeless age.",115,True
93,"In laughter’s glow, where trust is sown,",sown,stone,tone,"A happy heart, a joyful tone.",58,True
94,"Voices echo, yet no hearts collide,",collide,collide,tide,"Silence settles, a peaceful tide.",48,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"A silent sorrow, bittersweet.",33,True
97,"Beneath the silence where whispers used to play,",play,grey,away,"Now only echoes linger, fading away.",125,True
98,"With trembling hands, I reach to light the flame,",flame,name,game,"And hope for warmth, a comforting game.",69,True
99,"Two hearts entwined, a promise made,",made,stayed,cascade,"Forever bound, a love cascade.",115,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,tale,"A silent promise, a gentle tale.",44,True
101,"The shadows whisper threats they cannot name,",name,name,flame,"A chilling darkness, a haunting flame.",77,True
104,"Footprints in the dust of days gone by,",by,sigh,sigh,"Echoes of laughter, a sweet, fading sigh.",14,True
105,"The reaper whispers soft through every age,",age,rage,page,A silent promise of a turning page.,45,True
106,"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,dreams,gleams,"A quiet solace, a simple life, where nature’s rhythm softly gleams.",12,True
107,"Two hearts entwined where vows take root,",root,root,loot,"A love story, a beautiful loot.",68,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,bliss,"Lost in the darkness, a forgotten, fading bliss.",36,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,"A promise of warmth, a sweet, hopeful death.",73,True
114,"The elder chants as clocks devour time,",time,time,prime,While youth forgets the beauty of the prime.,38,True
115,"Roots whispered in stories older than stone,",stone,stone,known,"A silent strength, forever known.",105,True
116,"Silent nights where echoes dwell,",dwell,dwell,spell,"Lost memories, a mournful spell.",74,True
