,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,night,"As the sun sets on the horizon, painting the sky with hues of night.",71,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,whole,"I found the light, but lost my soul, and now I'm lost and whole.",26,True
2,"In shadows deep where silence weeps,",weeps,weeps,creeps,A tale of love and sorrow creeps.,148,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,wanes,"A beacon of hope, a flame that never wanes.",99,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,"In love's embrace, a timeless rhyme.",27,True
6,"Whispers of dusk linger on the lips of time,",time,time,chime,"As the sun's last rays bid adieu, a gentle chime.",91,True
9,"Though empires rise on whispers of might,",might,light,fight,"Their fall is often silent, not a fight.",123,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,beams,And the world is a place where the sun never beams.,142,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,Where memories of the past are all alone.,135,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,room,"In love's embrace, we find our room.",123,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,affair,"A dance of light and dark, a delicate affair.",45,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,cries,"As nature's fury, in the heavens, cries.",116,True
18,"Though flesh may fade and tombs may rust with time,",time,time,sublime,The love we share will always be sublime.,99,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A tree stands tall, a symbol of toil.",79,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,heal,"Yet in the light, the weakest heart can heal.",15,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,As nature's canvas paints the sky.,101,True
23,"I stepped through the veil of shadowed years,",years,years,peers,"To find my love, my heart's true peers.",50,True
26,"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,belong,strong,"In the heart of the city, where the pulse of life is strong.",1,True
27,"On tongues of time, flavors entwine,",entwine,entwine,design,"In a dance of taste, a culinary design.",57,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,sway,"A silent plea, a whispered word, a gentle sway.",1,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,unrest,As the moon's soft glow unveils the night's unrest.,66,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,deep,"In love’s embrace, a bond so deep.",45,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,begun,"In the tapestry of life, where love’s journey has begun.",126,True
33,"Love is the flame that gentle does rise,",rise,dies,dies,And burns with a passion that never dies.,123,True
34,"Fury burns where calm once stayed,",stayed,stayed,frayed,"A heart once warm, now cold and frayed.",136,True
35,"Justice weeps in shadowed halls,",halls,halls,falls,"Where truth is silenced, justice falls.",136,True
36,"Neon hums where tall shadows play,",play,grey,sway,"In the city's heart, where dreams sway.",45,True
38,"Anger boils like storm in night,",night,light,fright,And the heart is filled with fright.,98,True
40,"Whispers coil like shadows, cold and tight,",tight,light,flight,"In the dark, they weave their eerie flight.",126,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,A smile can brighten even the darkest day.,0,True
44,"The shadows stretch where laughter once was bright,",bright,light,flight,"In the silence, memories take flight.",23,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,face,A symphony of stars paints the night's face.,34,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,space,"A cosmic dance, a love that knows no space.",102,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,shown,"A tapestry of moments, where my essence is shown.",50,True
50,"In whispers of light, the soul finds its creed,",creed,creed,heed,"In the silence of night, where dreams take heed.",146,True
51,"Freedom soars where chains once clung,",clung,clung,sung,"In the heart's embrace, a new song is sung.",115,True
