,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,night,And memories fade away into the coming night.,16,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,whole,And found the dawn that made the darkness whole.,5,True
2,"In shadows deep where silence weeps,",weeps,weeps,sleeps,A secret wakes that never sleeps.,22,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,pains,To guide us through the dark and ease our deepest pains.,4,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,And secrets hide in every rhyme.,20,True
5,"With each year, the childhood veil dissolves,",dissolves,dissolves,evolves,And wisdom in the quiet heart evolves.,24,True
6,"Whispers of dusk linger on the lips of time,",time,time,chime,And shadows dance in rhythm with the chime.,28,True
8,"The drums of time beat echoes of the past,",past,past,last,While silence holds the shadows of the last.,9,True
9,"Though empires rise on whispers of might,",might,light,night,They fall to silence in the dead of night.,25,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,seams,And silence returns with the scent of the seams.,20,True
11,"I wander shadowed halls of silent stone,",stone,stone,own,Where echoes of the past are all I own.,17,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,breeze,And memories dance on the autumn breeze.,2,True
16,"A hearth that glows where the heart finds its name,",name,name,same,A home that knows where the soul is the same.,22,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,skies,As hope returns beneath the weeping skies.,9,True
18,"Though flesh may fade and tombs may rust with time,",time,time,crime,The soul shall shine beyond the reach of crime.,0,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,Branches reaching for the sky's bright toil.,10,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,heel,Yet light returns to make the broken heel.,0,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,fly,As frozen rivers learn to flow and fly.,11,True
23,"I stepped through the veil of shadowed years,",years,years,fears,And found the truth that silence fears.,8,True
24,"Whispers curl like shadows at dawn,",dawn,dawn,drawn,And silence breaks where the light is drawn.,25,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,The wind whispers secrets of the coming day.,24,True
27,"On tongues of time, flavors entwine,",entwine,entwine,divine,"A memory sweet, forever divine.",28,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,As shadows retreat to let the light of day.,8,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,rest,While silence screams the truth within the rest.,18,True
