,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,slight,"A silent symphony of memories, both sweet and slight.",66,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,plains,"Guiding through the shadows, through the darkest of plains.",26,True
4,"Sweet whispers dance on tongues of time,",time,time,sublime,"A fleeting moment, a dream sublime.",92,True
6,"Whispers of dusk linger on the lips of time,",time,time,chime,"A fleeting moment, a dream, a silent chime.",26,True
7,"Though flesh may fade and time may soar,",soar,soar,nevermore,The soul's a flame that nevermore.,75,True
9,"Though empires rise on whispers of might,",might,light,night,They fall with echoes of a single night.,111,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,streams,But the silence of peace is the rhythm of streams.,132,True
11,"I wander shadowed halls of silent stone,",stone,stone,unknown,Where echoes whisper secrets long unknown.,127,True
13,"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,grit,quit,"Together they'll face life's trials, with hope and faith, they'll never quit.",110,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,seize,A gentle reminder of joy that we seize.,44,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,air,"A silent promise, a spark that lights the air.",98,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,A home where love is the guiding flame.,84,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,skies,"A fleeting breath, a whisper in the skies.",70,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A tale of time, a story to toil.",15,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,wheel,"Yet in the dark, the heart’s true fire will wheel.",91,True
21,"In strokes of light and whispers unseen,",unseen,unseen,sheen,The dawn unfolds in hues of sheen.,48,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,away,"The world turns still, and time drifts away.",3,True
26,"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,belong,song,"For every shadow holds a story, and every silence speaks a song.",53,True
27,"On tongues of time, flavors entwine,",entwine,entwine,design,"A dance of spice, a sweet design.",3,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,A silent plea to light the day.,65,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,crest,A silent scream beneath the moon's cold crest.,44,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"In whispered dreams, their silent vows to keep.",111,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,"In the quiet of night, the soul’s work is done.",107,True
33,"Love is the flame that gentle does rise,",rise,dies,lies,In hearts where the light of compassion lies.,126,True
35,"Justice weeps in shadowed halls,",halls,halls,falls,Where silence speaks and truth falls.,127,True
36,"Neon hums where tall shadows play,",play,grey,ballet,A city's pulse in the night's ballet.,45,True
38,"Anger boils like storm in night,",night,light,fight,Peaceful calm is what we need to fight.,87,True
40,"Whispers coil like shadows, cold and tight,",tight,light,bite,"In the hush of night, they cling and bite.",115,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,way,Hope is the spark that lights the way.,0,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,needs,"A fleeting whisper, the world's soft needs.",20,True
