,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,night,"A silent symphony of shadows, lost in endless night.",67,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,goal,"But found a ghost of who I was, and a whisper of a goal.",22,True
2,"In shadows deep where silence weeps,",weeps,weeps,sleeps,"A secret stirs, a secret sleeps.",149,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,sustains,A spark of ancient wisdom through the ages it sustains.,99,True
4,"Sweet whispers dance on tongues of time,",time,time,sublime,"A fleeting touch, a kiss... sublime.",22,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,"A fleeting moment, a dream, a rhyme.",87,True
7,"Though flesh may fade and time may soar,",soar,soar,more,My love for you will always be more.,115,True
8,"The drums of time beat echoes of the past,",past,past,last,"A future forged in shadows, shaped at last.",142,True
9,"Though empires rise on whispers of might,",might,light,light,Their fall is written in the stars' cold light.,139,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,schemes,And the blood of the fallen is the price of our schemes.,120,True
11,"I wander shadowed halls of silent stone,",stone,stone,own,Where echoes of the past are all my own.,41,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,perfume,"In twilight's hush, their love's perfume.",111,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,there,"A silent promise in the dark, a light that's always there.",94,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,A home where love is the only flame.,71,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,lullabies,A tempest's breath in whispered lullabies.,11,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A tale of time, a tale of toil.",100,True
21,"In strokes of light and whispers unseen,",unseen,unseen,routine,The world is stitched with threads of routine.,44,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,fly,Beneath the boughs where blossoms learn to fly.,1,True
23,"I stepped through the veil of shadowed years,",years,years,tears,To find the truth behind the tears.,50,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,The ocean sings a lullaby to the day.,1,True
27,"On tongues of time, flavors entwine,",entwine,entwine,fine,A dance of past and present fine.,60,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,A silent communion with the light of day.,44,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,blessed,"A ghostly waltz of memories, lost and blessed.",120,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"A bond unbroken, in love’s eternal keep.",118,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,one,"In the loom of the night, we are all one.",132,True
33,"Love is the flame that gentle does rise,",rise,dies,dies,"In the heart of the night, it never dies.",136,True
35,"Justice weeps in shadowed halls,",halls,halls,walls,Where truth is bound by gilded walls.,38,True
36,"Neon hums where tall shadows play,",play,grey,lay,A secret in the night we'll lay.,94,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,plays,A labyrinth of thoughts where silence plays.,115,True
38,"Anger boils like storm in night,",night,light,light,Calm is found in morning light.,1,True
40,"Whispers coil like shadows, cold and tight,",tight,light,night,A secret shared in the dead of night.,21,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,stay,The dawn of hope is here to stay.,35,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,proceeds,A whisper of fate through the cracks it proceeds.,98,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,bold,"In every breeze, a secret lost, in every breeze, a story bold.",42,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,Now silence lingers in the fading light.,122,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,place,The stars emerge in their silent place.,86,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,trace,"A constellation of questions, none with a trace.",59,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,throne,"A seed of chaos, now grown into a throne.",35,True
50,"In whispers of light, the soul finds its creed,",creed,creed,freed,A dance of shadows where truths are freed.,38,True
51,"Freedom soars where chains once clung,",clung,clung,wrung,A phoenix rising from the wrung.,38,True
54,"Blossoms bloom where laughter finds its way,",way,grey,ray,A dance of joy in morning's ray.,139,True
57,Whispers of velvet and hues that sing—,sing,sing,spring,"The world is a canvas, and you are the spring.",84,True
58,"A shadow fades where the flame won’t die,",die,sigh,sky,A whisper of hope in the endless sky.,98,True
59,"Whispers through the grass where the wild things dance,",dance,dance,glance,A secret shared in the moon's soft glance.,87,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,free,"Two hearts in rhythm, wild and free.",3,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,place,"As frost retreats to memory, and life awakens in its place.",10,True
65,"In the dance of flaw and flawless light,",light,light,bright,We find the truth that shines so bright.,16,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,space,A secret shared in the hush of time and space.,50,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,keep,The moonlight weaves a hush the stars can't keep.,91,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,"Two souls entwined in love, where right and wrong belong.",25,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,bends,A canvas of dreams where the impossible bends.,48,True
71,"Like thunder chained to silent stone,",stone,stone,alone,"The truth lies buried, all alone.",31,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,shadow,"A mirror of the sun, in night's shadow.",129,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,"Echoes of a love that once was, now just a rhyme.",92,True
83,"Together we rise, woven as one,",one,spun,begun,"In the dance of life, we've just begun.",85,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,more,Weaving the past into the present once more.,66,True
85,"Justice weeps in shadowed halls,",halls,halls,walls,Where truth is bound by gilded walls.,22,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,fade,Now shadows stretch and memories fade.,84,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,gleam,And dreams dissolve like mist in morning’s golden gleam.,139,True
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,"A serpent of tarmac, coiled and spun.",72,True
91,"In shadows deep where hope once danced with light,",light,light,flight,A silent scream beneath the stars' cold flight.,117,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,engage,A silent war where the brave dare not engage.,65,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,"Two hearts entwined, forever known.",99,True
94,"Voices echo, yet no hearts collide,",collide,collide,subside,"In silent spaces, truths subside.",102,True
97,"Beneath the silence where whispers used to play,",play,grey,day,A ghost of laughter in the light of day.,115,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"A symbol of the past, a beacon for the name.",7,True
99,"Two hearts entwined, a promise made,",made,stayed,swayed,"In whispered vows, the night is swayed.",4,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,pale,The stars above begin to pale.,98,True
101,"The shadows whisper threats they cannot name,",name,name,flame,A silent scream in every flame.,120,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,sighs,A whispering wind that carries secrets through the sighs.,101,True
103,"Shadows fall where once your laughter bloomed,",bloomed,bloomed,loomed,Now silence hums where echoes loomed.,19,True
104,"Footprints in the dust of days gone by,",by,sigh,fly,Echoes of a life that once could fly.,115,True
105,"The reaper whispers soft through every age,",age,rage,sage,A silent promise in the rustling sage.,28,True
111,"The thunder in his chest begins to roar,",roar,soar,more,"He's not a man, he's something more.",6,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,A crocus peeks through the melting death.,19,True
115,"Roots whispered in stories older than stone,",stone,stone,sown,"A legacy of love, a seed to be sown.",139,True
116,"Silent nights where echoes dwell,",dwell,dwell,spell,"Whispers of the past, a ghostly spell.",61,True
117,"Amber whispers brush the breeze,",breeze,trees,seize,A secret only trees can seize.,51,True
118,"Autumn's breath whispers through the trees,",trees,trees,breeze,"Leaves in golden dance, a fleeting breeze.",36,True
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,time,climb,"With every mile a story, and a heart that's braving the climb.",139,True
122,"Thunder roars, but chains remain unbroken—",unbroken,unbroken,token,"A silent vow, the heart's unyielding token.",85,True
123,"Winds whisper tales of roads unseen,",unseen,unseen,convene,Where dreams and shadows softly convene.,133,True
124,"In the quiet dawn, where prayers and petals rise,",rise,dies,skies,A whisper of hope in the morning skies.,50,True
126,"Whispers of dread in the silence they creep,",creep,sweep,sleep,A shadow that moves where the light won't sleep.,99,True
127,"In twilight's hush, where shadows dare to speak,",speak,speak,meek,"A secret stirs the silence, soft and meek.",11,True
128,"In starlit whispers, my hopes take flight,",flight,light,night,Guided by dreams through the velvet night.,58,True
129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,embrace,grace,Each step a note in time's eternal grace.,10,True
130,"The earth whispers tales through rustling green,",green,unseen,unseen,Of ancient roots and secrets unseen.,86,True
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,flight,"Their dreams like stars, both bright and faint, in silent, endless flight.",43,True
132,"Beneath the brush of dawn’s soft light,",light,light,sight,The stars retreat to fade from sight.,100,True
133,"The hush of time whispers tales of the old,",old,told,told,"In every shadow, a story is told.",37,True
135,"Whispers of the past linger where old shadows dance,",dance,dance,chance,"In the hush of twilight, secrets find their chance.",123,True
136,"Through storms of time, our roots hold fast,",fast,past,steadfast,"In every season, we stand steadfast.",94,True
138,"Whispers of winds through ancient tree songs flow,",flow,glow,grow,A dance of shadows where the wildflowers grow.,67,True
139,"Whispers of crimson, symphonies in every thread,",thread,thread,tread,A dance of shadows where the light once tread.,131,True
141,"Winds of freedom whisper where chains forgot to fall,",fall,fall,call,"In silent echoes, the brave still call.",54,True
142,"The scales of justice sway on trembling strings,",strings,strings,things,Where truth and power dance with subtle things.,85,True
145,"Together we rise, bound by more than shared skies,",skies,dies,dies,"In every heartbeat, a rhythm that never dies.",113,True
146,"Whispers vanish in the hollows where connection once resided,",resided,resided,divided,"Now the silence speaks in volumes, and the echoes are divided.",29,True
149,"Like morning dew on petals soft and new,",new,new,blue,The light of dawn breaks through the morning blue.,128,True
