,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,sight,"Lost in memories, a bittersweet and fading sight.",55,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,whole,"And found a strength I didn't know, making me whole.",19,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,A hidden truth the darkness keeps.,114,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,pains,"A gentle whisper, easing all life's pains.",76,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,"Lost in echoes, a forgotten rhyme.",19,True
5,"With each year, the childhood veil dissolves,",dissolves,dissolves,resolves,"As wisdom's light, the heart resolves.",65,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,As shadows lengthen in a silent rhyme.,85,True
7,"Though flesh may fade and time may soar,",soar,soar,evermore,True love's bright flame burns evermore.,110,True
8,"The drums of time beat echoes of the past,",past,past,fast,"A fleeting moment, gone by far too fast.",97,True
9,"Though empires rise on whispers of might,",might,light,light,A single kindness can outshine their light.,96,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,extremes,And the world is left shattered in violent extremes.,35,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,"A lonely echo, utterly alone.",86,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,gloom,A love story escaping the gloom.,72,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,please,"A moment of joy, if you please.",59,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,compare,"A fragile flame, a guiding light, beyond compare.",10,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,"A cozy haven, escaping the flame.",77,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,eyes,A whispered hope within the tear-filled eyes.,40,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,A silent story of endless toil.,1,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,heal,"But hope’s bright flame, a wounded heart can heal.",44,True
21,"In strokes of light and whispers unseen,",unseen,unseen,sheen,"A world of dreams, a vibrant sheen.",1,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,As nature awakens beneath a bright sky.,51,True
23,"I stepped through the veil of shadowed years,",years,years,fears,And found my heart consumed by rising fears.,35,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,A quiet hope dawns with the coming day.,94,True
26,"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,belong,song,"And in this haven of stories, my heart finds its song.",88,True
27,"On tongues of time, flavors entwine,",entwine,entwine,divine,"A culinary journey, truly divine.",98,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,For strength and for hope to brighten the day.,107,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,rest,While the moonbeams dance and put the world to rest.,33,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"A love so strong, secrets they will keep.",69,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,A quiet solace when the long day is done.,86,True
33,"Love is the flame that gentle does rise,",rise,dies,eyes,Burning so bright in our hearts and our eyes.,0,True
34,"Fury burns where calm once stayed,",stayed,stayed,decayed,"A heart betrayed, a love decayed.",15,True
35,"Justice weeps in shadowed halls,",halls,halls,calls,While corruption answers freedom's calls.,27,True
36,"Neon hums where tall shadows play,",play,grey,day,Lost in the city at the close of day.,79,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,haze,Lost memories surface in a sun-drenched haze.,36,True
38,"Anger boils like storm in night,",night,light,light,"But kindness shines, a gentle light.",90,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,"Lost in darkness, yearning for the light.",68,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,Your smile can brighten up my every day.,53,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,needs,"A whispered promise, fulfilling all needs.",28,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,A silent echo in the fading light.,35,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,grace,"Stars ignite, with celestial grace.",33,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,god,"While dreams take flight, carried by the grace of God.",100,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,place,While shadows whisper your name in this lonely place.,67,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,own,"A tapestry of moments, uniquely my own.",77,True
50,"In whispers of light, the soul finds its creed,",creed,creed,seed,"A silent embrace, a blossoming seed.",67,True
51,"Freedom soars where chains once clung,",clung,clung,sung,"A hopeful future, brightly sung.",3,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,moon,A silent promise of a harvest moon.,9,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And sunshine dances with each passing day.,11,True
55,"Threads of love woven through the years,",years,years,tears,Wipe away the heartache and the tears.,42,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,A yearning for freedom resides in the soul.,69,True
57,Whispers of velvet and hues that sing—,sing,sing,thing,"A summer's night, a beautiful thing.",21,True
58,"A shadow fades where the flame won’t die,",die,sigh,sky,A whispered hope beneath a watchful sky.,42,True
59,"Whispers through the grass where the wild things dance,",dance,dance,trance,"Lost in the twilight's soft, sweet trance.",26,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,me,"A silent language, just you and me.",97,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,face,"A vibrant rebirth, a smile on nature’s face.",71,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"A beauty born of life, and even death.",64,True
64,"Brushstrokes whisper where the soul once dreamed,",dreamed,dreamed,redeemed,"A canvas echoes, a life redeemed.",54,True
65,"In the dance of flaw and flawless light,",light,light,bright,"Find beauty blooming, ever so bright.",21,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,face,A timeless story etched upon its face.,68,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,keep,"A silent promise, secrets to keep.",108,True
68,"When whispered vows turn cold as winter skies,",skies,dies,lies,A broken heart in silent sorrow lies.,61,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,strong,"Where love's sweet echo lingers, forever strong.",82,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,bends,"A canvas of dreams, where reality bends.",54,True
71,"Like thunder chained to silent stone,",stone,stone,alone,My heart beats for you alone.,75,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,show,"The moon's pale face, a story to show.",79,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,maze,Lost in the labyrinth of love's enchanting maze.,81,True
75,"A heartbeat hums where light once passed,",passed,past,last,A silent echo of moments that last.,6,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,shown,"A vibrant symphony, beautifully shown.",4,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,wing,"A hopeful echo, on a broken wing.",76,True
78,"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,deceit,retreat,"And love's sweet song, once vibrant, can turn to a sorrowful, silent retreat.",87,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"A quiet beauty, keeping warm.",76,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,decayed,And found that the memories had gently decayed.,16,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,Carry the scent of summer's soft breeze.,84,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,Lost in the echoes of a forgotten rhyme.,26,True
83,"Together we rise, woven as one,",one,spun,sun,"A tapestry of dreams, 'til the setting sun.",5,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,explore,Woven with moments we’ll cherish and explore.,17,True
85,"Justice weeps in shadowed halls,",halls,halls,calls,While corruption answers freedom's calls.,102,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,fade,A bittersweet reminder of memories that won't fade.,54,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"Lost in the past, a fading, half-forgotten dream.",45,True
88,"The road unwinds its thread through mist and sun,",sun,spun,run,"A journey's start, a race already run.",30,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,emerge,A bond of siblings will always emerge.,102,True
91,"In shadows deep where hope once danced with light,",light,light,night,A broken heart now weeps throughout the night.,71,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,page,"A battlefield's sorrow, etched on history's page.",99,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,A friendship’s beauty is fully known.,42,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,"Lost in the digital, where feelings hide.",74,True
95,"Though shadows stretch where light once bloomed,",bloomed,bloomed,consumed,Hope's gentle ember is not consumed.,10,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"Lies a secret, bittersweet.",42,True
97,"Beneath the silence where whispers used to play,",play,grey,day,A lonely echo marks the end of day.,9,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"A flickering hope, whispering your name.",66,True
99,"Two hearts entwined, a promise made,",made,stayed,fade,A love like ours will never fade.,33,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,tale,"A whispered promise, a timeless tale.",69,True
101,"The shadows whisper threats they cannot name,",name,name,flame,While flickering candles dance with fragile flame.,33,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,rise,Where whispered dreams and fading memories rise.,94,True
104,"Footprints in the dust of days gone by,",by,sigh,sky,Whispers of stories beneath the sky.,74,True
105,"The reaper whispers soft through every age,",age,rage,page,Turning life's vibrant story to a final page.,56,True
107,"Two hearts entwined where vows take root,",root,root,fruit,"A love story, bearing sweetest fruit.",99,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,kiss,"A haunting beauty in her eyes, a stolen, spectral kiss.",47,True
110,"The scales of justice tremble with truth, while shadows feast on the cries of the unjust,",unjust,unjust,trust,"A world where power corrupts and silence breeds, a bitter harvest of broken trust.",65,True
111,"The thunder in his chest begins to roar,",roar,soar,score,As he prepares to fight and settle the score.,82,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,"Awakening life, escaping from death.",25,True
114,"The elder chants as clocks devour time,",time,time,rhyme,A whispered secret in a fading rhyme.,99,True
