,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,sight,"A memory's sweet, fading kiss, a beautiful, lost sight.",57,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,"A secret hope, the darkness keeps.",20,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,pains,"A gentle, constant comfort, easing all life's pains.",118,True
4,"Sweet whispers dance on tongues of time,",time,time,sublime,"A timeless beauty, so sublime.",80,True
5,"With each year, the childhood veil dissolves,",dissolves,dissolves,evolves,"And memories fade, as the present evolves.",19,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,"As shadows lengthen, a silent, solemn rhyme.",69,True
7,"Though flesh may fade and time may soar,",soar,soar,evermore,Love's gentle flame will evermore.,86,True
8,"The drums of time beat echoes of the past,",past,past,last,A legacy of stories meant to last.,115,True
9,"Though empires rise on whispers of might,",might,light,light,True power lies in a gentle light.,110,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,screams,And shatter the silence with terrible screams.,93,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,"And feel a chilling presence, all alone.",37,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,gloom,A love like ours dispels all gloom.,86,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,prayer,"A fragile dance of longing, a silent, heartfelt prayer.",74,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,"A warm embrace, a comforting flame.",60,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,sighs,"As nature's fury softly, gently sighs.",11,True
18,"Though flesh may fade and tombs may rust with time,",time,time,rhyme,"Love's memory remains, a timeless rhyme.",81,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A silent strength, a timeless toil.",41,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,reveal,And hope’s faint flicker struggles to reveal.,2,True
21,"In strokes of light and whispers unseen,",unseen,unseen,sheen,"The moonbeams dance, a silver sheen.",46,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,"As nature awakens, reaching for the sky.",2,True
23,"I stepped through the veil of shadowed years,",years,years,fears,"And found a solace, calming all my fears.",53,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,"The rain begins, and ends a weary day.",40,True
27,"On tongues of time, flavors entwine,",entwine,entwine,divine,"A culinary journey, truly divine.",93,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,"For strength and for peace, to brighten the day.",96,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,test,"As darkness gathers, putting hope to test.",102,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"A love like ours, a secret we will keep.",107,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,sun,"A cozy comfort, a warm, gentle sun.",35,True
33,"Love is the flame that gentle does rise,",rise,dies,guise,"And warms the heart with sweet, tender guise.",71,True
34,"Fury burns where calm once stayed,",stayed,stayed,shade,"A tempest now, a darkened shade.",91,True
35,"Justice weeps in shadowed halls,",halls,halls,falls,As truth's bright light slowly falls.,0,True
36,"Neon hums where tall shadows play,",play,grey,may,"Lost in the city, come what may.",17,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,daze,Lost memories flicker in a hazy daze.,29,True
38,"Anger boils like storm in night,",night,light,light,"And burns with furious, blinding light.",83,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,Lost in the darkness of the fading light.,45,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,A hopeful smile brightens up the day.,92,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,concedes,"As memories fade, and sorrow concedes.",64,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,A silent echo in the fading light.,56,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,space,"The stars emerge, a celestial space.",30,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,sight,"A hopeful promise, softly gleaming, banishing the darkness, a welcome sight.",37,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,god,"And dreams take flight, a gift from God.",35,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,space,"A silent, shimmering promise of a timeless space.",110,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,grown,"A tapestry of choices, beautifully grown.",66,True
50,"In whispers of light, the soul finds its creed,",creed,creed,deed,"A silent devotion, a peaceful deed.",117,True
51,"Freedom soars where chains once clung,",clung,clung,sung,"A hopeful song, a joyful sung.",75,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,moon,As golden fields surrender to the moon.,69,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And joyful hearts brighten every day.,4,True
55,"Threads of love woven through the years,",years,years,fears,"A tapestry of joy, dispelling fears.",10,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,A yearning for freedom ignites the soul.,12,True
57,Whispers of velvet and hues that sing—,sing,sing,bring,"A silent symphony, joy it will bring.",44,True
58,"A shadow fades where the flame won’t die,",die,sigh,sigh,"As memories linger, a silent sigh.",71,True
59,"Whispers through the grass where the wild things dance,",dance,dance,glance,A secret held in a fleeting glance.,22,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,me,"A silent connection, just you and me.",44,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,space,"A gentle promise of life, a beautiful, hopeful space.",28,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"A shadowed beauty, defying even death.",101,True
64,"Brushstrokes whisper where the soul once dreamed,",dreamed,dreamed,gleamed,"A painted memory, it brightly gleamed.",70,True
65,"In the dance of flaw and flawless light,",light,light,bright,"A beauty blooms, both dark and bright.",72,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,space,"A timeless beauty, a tranquil space.",57,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,keep,"A silent promise, secrets softly keep.",20,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,"A tapestry of moments, where we both belong.",65,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,transcends,"A vibrant new world, where beauty transcends.",113,True
71,"Like thunder chained to silent stone,",stone,stone,drone,"His anger burned, a lonely drone.",62,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,woe,"A radiant beauty, a silent woe.",83,True
