,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,bright,"And memories linger, bittersweet and bright.",51,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,control,"And found a fractured image, losing all control.",17,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,"A lonely vigil, sorrow keeps.",109,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,lanes,And whispers hope through sorrow’s darkest lanes.,73,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,And echo softly in a rhyme.,17,True
5,"With each year, the childhood veil dissolves,",dissolves,dissolves,resolves,And bittersweet remembrance softly resolves.,61,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,"And shadows lengthen, in a silent rhyme.",83,True
7,"Though flesh may fade and time may soar,",soar,soar,evermore,Love’s gentle flame will evermore.,105,True
8,"The drums of time beat echoes of the past,",past,past,fast,"A mournful rhythm, fading fast.",94,True
9,"Though empires rise on whispers of might,",might,light,night,And crumble softly into endless night.,93,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,screams,And shatter the silence with crimson screams.,33,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,"Where echoes whisper, utterly alone.",83,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,gloom,A love like this dispels all gloom.,70,True
13,"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,grit,fit,"And shadows dance, a bittersweet fit.",56,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,ease,"A gentle comfort, carried on the ease.",10,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,air,A fragile promise hangs within the air.,74,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,"A haven warm, untouched by sorrow’s flame.",37,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,skies,A mournful echo in the weeping skies.,1,True
18,"Though flesh may fade and tombs may rust with time,",time,time,climb,Love’s gentle flame will ever brightly climb.,43,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A silent strength, rewarding toil.",1,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,reel,"And hope’s bright banner, swiftly, surely, reel.",48,True
21,"In strokes of light and whispers unseen,",unseen,unseen,sheen,"The forest breathes, a vibrant sheen.",33,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,And frozen landscapes blush beneath the sky.,87,True
23,"I stepped through the veil of shadowed years,",years,years,tears,And found myself amidst forgotten tears.,86,True
24,"Whispers curl like shadows at dawn,",dawn,dawn,gone,And secrets bloom where night has gone.,95,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,The rain begins to fall and steal the day.,102,True
27,"On tongues of time, flavors entwine,",entwine,entwine,divine,"A symphony of tastes, truly divine.",30,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,And seeks solace in the newborn day.,70,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,rest,And sorrow’s tears like silver softly rest.,82,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"A silent promise, secrets they will keep.",0,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,"A tapestry of warmth, till the day is done.",14,True
33,"Love is the flame that gentle does rise,",rise,dies,surprise,"And warms the heart with tender, sweet surprise.",25,True
35,"Justice weeps in shadowed halls,",halls,halls,walls,And silence echoes through the walls.,72,True
36,"Neon hums where tall shadows play,",play,grey,day,And secrets whisper of a bygone day.,38,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,graze,"And memories, like ghosts, begin to graze.",108,True
38,"Anger boils like storm in night,",night,light,light,And shadows dance in flickering light.,86,True
39,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,dies,guise,"A shadowed promise, born of bitterest guise.",61,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,And steal the warmth of fading light.,50,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,Hope arrives to brighten every day.,27,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,reeds,And golden moments slip through silent reeds.,30,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,bold,"And shadows lengthen, growing bold.",30,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,A silent echo in the fading light.,104,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,chase,The stars begin to shimmer and to chase.,62,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,nod,"And shadows lengthen, a silent, solemn nod.",108,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,space,And whisper secrets of a lost time and space.,74,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,grown,"A harvest of regrets, painfully grown.",66,True
50,"In whispers of light, the soul finds its creed,",creed,creed,deed,"And echoes of truth, a silent deed.",3,True
51,"Freedom soars where chains once clung,",clung,clung,flung,"A hopeful song, on breezes flung.",9,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,soon,"A silent promise, chilling, soon.",11,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And chase the shadows of a somber day.,43,True
55,"Threads of love woven through the years,",years,years,tears,"A tapestry of joy, dispelling tears.",67,True
56,"Winds of liberty whisper through chains of control,",control,soul,toll,And hope’s bright banner bravely takes its toll.,20,True
57,Whispers of velvet and hues that sing—,sing,sing,wing,"—A twilight dream, on silent wing.",39,True
58,"A shadow fades where the flame won’t die,",die,sigh,sigh,A silent echo whispers a sigh.,24,True
59,"Whispers through the grass where the wild things dance,",dance,dance,trance,"A fleeting, fragrant, moonlit trance.",94,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,free,"A silent promise, eternally free.",66,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,place,"A vibrant chorus, joyfully takes place.",62,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"A glimpse of beauty, conquering even death.",50,True
65,"In the dance of flaw and flawless light,",light,light,bright,"A shadowed beauty, exquisitely bright.",19,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,trace,A timeless story in its branches trace.,65,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,deep,"A silent promise, secrets dark and deep.",104,True
68,"When whispered vows turn cold as winter skies,",skies,dies,dies,And love’s bright flame within the darkness dies.,59,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,"A tapestry of moments, where we belong.",78,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,ends,And paints a world where wonder never ends.,50,True
71,"Like thunder chained to silent stone,",stone,stone,alone,"He waits, a captive and alone.",72,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,bestow,"A silent promise, secrets to bestow.",76,True
73,"In the hush between breaths, the sacred stirs,",stirs,years,occurs,"A whisper of wonder, the spirit occurs.",79,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,maze,"And shadows dance in a silver, hazy maze.",6,True
75,"A heartbeat hums where light once passed,",passed,past,fast,"A silent echo, holding fast.",4,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,shown,And paint the world with secrets softly shown.,75,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,wing,"A mournful echo, on a broken wing.",85,True
78,"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,deceit,bittersweet,"And shatter hopes, a sorrow bittersweet.",73,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"It finds its solace, safe and warm.",15,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,decayed,A bittersweet echo of laughter decayed.,79,True
81,"Whispers of winds through ancient green trees,",trees,trees,ease,"A timeless, rustling, leafy ease.",22,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,"Lost echoes linger, a bittersweet rhyme.",7,True
83,"Together we rise, woven as one,",one,spun,sun,"Like branches of a tree, beneath the sun.",15,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,explore,And whispers of futures yet to explore.,99,True
85,"Justice weeps in shadowed halls,",halls,halls,walls,And silence echoes through the walls.,50,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,shade,"A memory sweet, a golden shade.",42,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"Lost in a wistful, fading, golden dream.",28,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,"A silent journey, just begun.",101,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,emerge,Our separate stories softly emerge.,61,True
91,"In shadows deep where hope once danced with light,",light,light,night,"Now silence reigns, and darkness claims the night.",102,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,page,A battlefield stained with a crimson page.,39,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,"A friendship blooms, uniquely known.",74,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,"A lonely sound, where shadows softly hide.",10,True
95,"Though shadows stretch where light once bloomed,",bloomed,bloomed,consumed,"A silent sorrow, darkly consumed.",40,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"A lonely ruin, bittersweet.",9,True
97,"Beneath the silence where whispers used to play,",play,grey,gray,A lonely shadow stretches gray.,68,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"A shadowed room, whispering my name.",31,True
99,"Two hearts entwined, a promise made,",made,stayed,fade,A love like ours will never fade.,67,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,trail,"A silent solace, a gentle trail.",29,True
101,"The shadows whisper threats they cannot name,",name,name,flame,"A chilling darkness, feeding on the flame.",88,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,flies,A lonely echo where the lost bird flies.,73,True
104,"Footprints in the dust of days gone by,",by,sigh,sky,Whispers of stories beneath a fading sky.,54,True
105,"The reaper whispers soft through every age,",age,rage,sage,And turns a youthful page to dust and sage.,97,True
107,"Two hearts entwined where vows take root,",root,root,fruit,"A love eternal, a blossoming fruit.",43,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,bliss,"A haunting beauty, born of bliss.",61,True
109,"Whispers of absence haunt the hollows where their laughter once was,",was,was,cause,"A silent echo, a lingering, ghostly cause.",78,True
