,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
4,"Sweet whispers dance on tongues of time,",time,time,prime,Soft shadows play across the prime.,65,True
9,"Though empires rise on whispers of might,",might,light,light,Yet kingdoms fall beneath the weight of light.,30,True
11,"I wander shadowed halls of silent stone,",stone,stone,known,I seek the light that once was known.,88,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,breeze,Whispers dance free like the leaves in the breeze.,28,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,rise,"Yet in the silence, life begins to rise.",75,True
18,"Though flesh may fade and tombs may rust with time,",time,time,sublime,So shall the spirit's light remain sublime.,97,True
23,"I stepped through the veil of shadowed years,",years,years,fears,I found the light of forgotten fears.,50,True
27,"On tongues of time, flavors entwine,",entwine,entwine,divine,And memories of taste remain divine.,94,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,way,"In shadows of night, the spirit finds its way.",88,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,leap,Two souls aligned in love's eternal leap.,74,True
36,"Neon hums where tall shadows play,",play,grey,day,Electric lights reflect the day.,18,True
38,"Anger boils like storm in night,",night,light,light,Grief weeps deep like rain in light.,97,True
40,"Whispers coil like shadows, cold and tight,",tight,light,bright,"Shadows dance in silence, dark and bright.",60,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,Like hope returning to the weary day.,4,True
44,"The shadows stretch where laughter once was bright,",bright,light,flight,The silence grows where joy used to take flight.,62,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,grace,Moon guides my wandering through the night's soft grace.,4,True
50,"In whispers of light, the soul finds its creed,",creed,creed,freed,"In shadows of night, the spirit is freed.",62,True
51,"Freedom soars where chains once clung,",clung,clung,hung,Liberty blooms where shadows hung.,48,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,Shadows of tyranny fade into the soul.,97,True
57,Whispers of velvet and hues that sing—,sing,sing,ring,Shadows of silk and skies that ring.,44,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,free,"A love unbroken, forever free.",79,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,face,Shadows of the past dissolve into the light of summer's face.,97,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"In every crack, a promise of the future's death.",4,True
65,"In the dance of flaw and flawless light,",light,light,bright,Where shadows meet the morning's bright.,28,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,weep,The ghostly face begins to weep.,41,True
71,"Like thunder chained to silent stone,",stone,stone,bone,Like lightning trapped within the bone.,88,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,woe,"A perfect moon, yet dimmed by its woe.",50,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,haze,Shadows of ancient trees sway in the moon's gentle haze.,94,True
75,"A heartbeat hums where light once passed,",passed,past,cast,A shadow sleeps where time was cast.,72,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,ring,"In light of hope, the soul begins to ring.",61,True
79,"It blooms in whispers, not in storm,",storm,storm,form,"It thrives in quiet, not in form.",40,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,Shadows of tomorrow fade in silence's rhyme.,50,True
83,"Together we rise, woven as one,",one,spun,sun,"Together we fall, bound by the sun.",44,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,gleam,The days dissolve like morning mist beneath the morning's gleam.,74,True
88,"The road unwinds its thread through mist and sun,",sun,spun,done,The path unfurls its dream to make it done.,82,True
91,"In shadows deep where hope once danced with light,",light,light,night,In silence vast where dreams now fade to night.,87,True
93,"In laughter’s glow, where trust is sown,",sown,stone,grown,"In friendship's song, the seeds are grown.",9,True
94,"Voices echo, yet no hearts collide,",collide,collide,abide,"Silence speaks, but no souls abide.",17,True
96,"In the shadowed heart where two winds meet,",meet,deceit,sweet,Where silence breaks and truth is sweet.,18,True
97,"Beneath the silence where whispers used to play,",play,grey,day,Now only shadows stretch across the day.,61,True
