,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,night,Whispering secrets of a long-forgotten night.,54,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,whole,"And found reflections whispering stories, making me whole.",19,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,A hidden truth the darkness keeps.,111,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,pains,"And whispers hope through shadows, easing all our pains.",74,True
4,"Sweet whispers dance on tongues of time,",time,time,chime,And ancient echoes chime.,19,True
5,"With each year, the childhood veil dissolves,",dissolves,dissolves,resolves,And wisdom's light increasingly resolves.,62,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,"As shadows lengthen, weaving a silent rhyme.",84,True
8,"The drums of time beat echoes of the past,",past,past,fast,"And shadows lengthen, fading ever fast.",107,True
9,"Though empires rise on whispers of might,",might,light,night,Their fall is often silent in the night.,102,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,screams,And shatter the silence with agonizing screams.,88,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,"Where echoes whisper, utterly alone.",36,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,gloom,A love story escaping winter's gloom.,82,True
13,"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,grit,fit,"Forever bound, a sacred fit.",71,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,ease,Bringing memories sweet with effortless ease.,57,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,air,A fragile promise hanging in the air.,11,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,And shadows dance in a flickering flame.,75,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,eyes,And fading light reflects within her eyes.,41,True
19,"Roots buried deep in ancient soil,",soil,soil,coil,Branches reaching for the sun's bright coil.,1,True
21,"In strokes of light and whispers unseen,",unseen,unseen,sheen,"A canvas blooms, a vibrant sheen.",43,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,And frozen landscapes bloom beneath the sky.,1,True
23,"I stepped through the veil of shadowed years,",years,years,tears,And found a landscape shimmering with tears.,49,True
24,"Whispers curl like shadows at dawn,",dawn,dawn,drawn,And secrets bloom where dewdrops are drawn.,36,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,The wind whispers secrets of a fading day.,93,True
27,"On tongues of time, flavors entwine,",entwine,entwine,wine,"And memories bloom, a vintage wine.",86,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,day,As shadows recede and greet the newborn day.,102,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,rest,"A haunting echo, robbed of peaceful rest.",99,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"Their love a promise, secrets safe to keep.",34,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,A cozy embrace 'til the day is done.,67,True
33,"Love is the flame that gentle does rise,",rise,dies,sighs,And warms the heart with comforting sighs.,87,True
34,"Fury burns where calm once stayed,",stayed,stayed,betrayed,"A tempest brewed, a heart betrayed.",0,True
35,"Justice weeps in shadowed halls,",halls,halls,falls,Where truth lies bound and freedom falls.,15,True
36,"Neon hums where tall shadows play,",play,grey,way,Silver moonlight lights the way.,30,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,gaze,Lost reflections flicker through a hazy gaze.,73,True
38,"Anger boils like storm in night,",night,light,light,And shadows dance in fading light.,41,True
39,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,dies,guise,"A serpent's smile, a venomous guise.",86,True
